Biomarker,Importance
Streptomyces albidoflavus,6.173832417
Akkermansia sp. BCRC 18949,1.870613694
Streptococcus sp. oral taxon 431,1.847979307
Streptococcus sp. K0074,1.823108077
Porphyromonas endodontalis,1.724450946
Streptococcus nidrosiense,1.684986234
Schaalia odontolytica,1.603008389
Streptococcus sp. KHUD_016,1.582719803
Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A,1.570413947
Prevotella histicola,1.570230484
Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,1.56153965
Aggregatibacter sp. 2125159857,1.557352304
Actinomyces sp. oral taxon 169,1.546858311
Streptococcus sp. A12,1.528099179
Shannon,1.496046305
Schaalia meyeri,1.401103973
Actinomyces pacaensis,1.380712509
Streptococcus gwangjuensis,1.369563699
Prevotella sp. oral taxon 313,1.369026661
Streptococcus sp. 11-4097,1.320229411
